id,nombre,ingreso_mensual,nivel_endeudamiento,frecuencia_ahorro,perfil_financiero
1,Carlos,1360,63,Media,En riesgo
2,Diego,5890,32,Baja,En observacion
3,Lucia,5726,51,Media,En observacion
4,Jose,5691,88,Baja,En riesgo
5,Marta,4272,13,Baja,Saludable
6,Alejandro,3592,74,Baja,En riesgo
7,Luis,966,52,Media,En riesgo
8,Elena,5834,58,Media,En observacion
9,Martin,4926,77,Ninguna,En riesgo
10,Carlos,3944,40,Media,En observacion
11,Ana,3671,67,Baja,En riesgo
12,Marta,3419,67,Media,En riesgo
13,Marta,630,7,Baja,En observacion
14,Ana,2185,1,Media,Saludable
15,Alejandro,1269,85,Alta,En riesgo
16,Martin,2891,40,Alta,En observacion
17,Jorge,2933,54,Baja,En riesgo
18,Juan,5811,15,Baja,Saludable
19,Claudia,5551,61,Media,En observacion
20,Ana,1684,47,Media,En riesgo
21,Jose,5055,29,Baja,En observacion
22,Luis,3885,11,Alta,Saludable
23,Maria,4617,34,Media,En observacion
24,Martin,5343,10,Alta,Saludable
25,Sofia,3404,63,Alta,En observacion
26,Lucia,974,49,Media,En riesgo
27,Diego,1582,84,Media,En riesgo
28,Jorge,3058,20,Alta,Saludable
29,Jose,2547,68,Media,En riesgo
30,Marta,3247,47,Media,En observacion
31,Marta,1475,19,Media,En observacion
32,Maria,2306,66,Media,En riesgo
33,Laura,689,43,Baja,En riesgo
34,Claudia,3234,32,Alta,En observacion
35,Sofia,3505,72,Media,En observacion
36,Jose,5158,60,Alta,En observacion
37,Laura,2399,8,Alta,Saludable
38,Jorge,1767,67,Media,En riesgo
39,Martin,2028,34,Media,En observacion
40,Pedro,3702,80,Ninguna,En riesgo
41,Carlos,4056,87,Media,En observacion
42,Camila,4390,64,Ninguna,En riesgo
43,Jorge,1146,7,Alta,Saludable
44,Alejandro,3388,44,Alta,En observacion
45,Pedro,5893,86,Alta,En observacion
46,Diego,2935,46,Alta,En observacion
47,Alejandro,1100,39,Media,En observacion
48,Jorge,2863,75,Baja,En riesgo
49,Sofia,2561,53,Alta,En observacion
50,Valentina,741,75,Ninguna,En riesgo
51,Maria,2541,45,Baja,En riesgo
52,Valentina,3324,46,Media,En observacion
53,Valentina,3112,14,Alta,Saludable
54,Jose,1863,18,Alta,Saludable
55,Juan,5986,25,Alta,Saludable
56,Elena,1978,51,Alta,En observacion
57,Marta,3056,21,Media,En observacion
58,Jose,1275,20,Media,En observacion
59,Juan,4514,50,Media,En observacion
60,Pedro,534,37,Ninguna,En riesgo
61,Marta,3652,19,Baja,Saludable
62,Elena,2455,28,Ninguna,En riesgo
63,Miguel,2085,50,Alta,En observacion
64,Elena,4443,3,Media,Saludable
65,Jose,3573,54,Media,En observacion
66,Marta,1521,70,Alta,En riesgo
67,Alejandro,3961,27,Alta,Saludable
68,Martin,3113,3,Baja,En observacion
69,Lucia,5725,21,Baja,En observacion
70,Jose,4343,75,Media,En observacion
71,Martin,2000,44,Media,En observacion
72,Diego,5298,66,Media,En observacion
73,Valentina,661,85,Alta,En riesgo
74,Martin,4797,65,Media,En observacion
75,Claudia,2481,87,Alta,En observacion
76,Luis,1495,33,Alta,En observacion
77,Jose,5411,54,Ninguna,En riesgo
78,Ana,3842,0,Media,Saludable
79,Ana,5051,71,Baja,En riesgo
80,Carlos,4298,86,Media,En observacion
81,Martin,1775,37,Media,En observacion
82,Pedro,1516,5,Media,En observacion
83,Ana,837,85,Alta,En riesgo
84,Jorge,1378,24,Alta,En observacion
85,Claudia,1576,81,Baja,En riesgo
86,Juan,5387,16,Baja,Saludable
87,Alejandro,4493,60,Media,En observacion
88,Camila,5359,11,Media,Saludable
89,Valentina,879,5,Ninguna,En riesgo
90,Jose,992,89,Alta,En riesgo
91,Camila,5776,26,Media,En observacion
92,Carlos,2562,7,Media,Saludable
93,Martin,4384,82,Baja,En riesgo
94,Claudia,564,64,Ninguna,En riesgo
95,Laura,3068,56,Media,En observacion
96,Sofia,5963,39,Ninguna,En observacion
97,Miguel,5748,13,Baja,Saludable
98,Luis,2527,34,Media,En observacion
99,Ana,3195,47,Media,En observacion
100,Camila,1995,83,Media,En riesgo
101,Alejandro,5758,55,Ninguna,En riesgo
102,Ana,891,48,Alta,En riesgo
103,Miguel,5014,12,Baja,Saludable
104,Martin,4974,60,Media,En observacion
