id,nombre,ingreso_mensual,nivel_endeudamiento,frecuencia_ahorro,perfil_financiero,split
1,Feliciana,2810.89,22.18,Baja,En observacion,val
2,Dani,4827.5,18.13,Media,Saludable,train
3,Amador,4061.98,20.5,Media,Saludable,train
4,Manuela,3595.3,20.85,Media,Saludable,test
5,Leonardo,2046.07,26.98,Baja,En riesgo,val
6,Jose Ignacio,2045.98,25.74,Baja,En observacion,val
7,Jacinto,1703.29,28.96,Media,En riesgo,train
8,Emilio,4531.62,18.63,Media,Saludable,train
9,Maite,3603.9,19.59,Media,Saludable,train
10,Cristian,3978.25,19.86,Media,Saludable,val
11,Inmaculada,1572.05,29.5,Baja,En riesgo,train
12,Manu,4894.68,18.3,Baja,En observacion,train
13,Tecla,4413.55,18.64,Media,Saludable,train
14,Caridad,2243.19,24.36,Baja,En observacion,test
15,Chucho,2136.39,28.11,Media,En riesgo,val
16,Dominga,2141.92,22.74,Media,En observacion,train
17,Telmo,2564.85,26.0,Media,En observacion,val
18,Amílcar,3336.65,20.9,Baja,En observacion,train
19,Amor,3011.81,23.82,Media,En observacion,train
20,Ciro,2519.3,22.22,Baja,En observacion,train
21,Isaías,3641.49,20.93,Baja,En observacion,test
22,Joan,1988.23,26.88,Media,En riesgo,train
23,Anselma,2522.51,23.17,Baja,En observacion,val
24,Eligia,2782.27,20.41,Media,Saludable,val
25,Amando,3096.24,22.92,Media,En observacion,test
26,Chelo,4248.12,18.51,Media,Saludable,train
27,Heliodoro,2198.86,26.59,Baja,En riesgo,train
28,Lilia,3299.82,20.71,Media,Saludable,val
29,Florentina,3573.45,20.64,Media,Saludable,train
30,Judith,1662.58,31.5,Media,En riesgo,train
31,Caridad,3626.41,19.52,Media,Saludable,train
32,Simón,2096.83,24.03,Media,En observacion,test
33,Isidro,1727.68,31.25,Media,En riesgo,train
34,Vidal,4821.1,16.04,Baja,En observacion,val
35,Dolores,4879.71,19.31,Media,Saludable,val
36,Leopoldo,4329.39,18.81,Baja,En observacion,train
37,Nydia,2566.15,21.71,Baja,En observacion,train
38,Ruth,1841.85,27.0,Baja,En riesgo,val
39,Adolfo,3894.82,19.12,Baja,En observacion,val
40,Martina,3040.53,22.07,Baja,En observacion,train
41,Noelia,1927.13,27.61,Media,En riesgo,train
42,Feliciano,3233.12,21.77,Media,Saludable,train
43,José,1620.36,28.67,Media,En riesgo,test
44,Telmo,4682.62,16.24,Media,Saludable,train
45,Noé,2405.73,22.91,Media,En observacion,test
46,Leopoldo,3818.83,20.4,Media,Saludable,train
47,Fabricio,2590.99,26.63,Baja,En riesgo,val
48,Ildefonso,3320.24,19.77,Media,Saludable,val
49,María Carmen,3413.49,21.61,Media,Saludable,train
50,Nicodemo,2146.99,26.21,Media,En riesgo,test
51,Cristian,4893.55,17.78,Media,Saludable,test
52,Cirino,4212.96,16.94,Media,Saludable,train
53,Ricardo,4788.25,17.95,Baja,En observacion,train
54,Cleto,4631.9,18.02,Media,Saludable,test
55,Plinio,3592.65,22.9,Media,En observacion,train
56,Rebeca,4726.56,17.61,Media,Saludable,train
57,Omar,1809.72,28.64,Media,En riesgo,train
58,Elisabet,2185.94,23.25,Media,En observacion,val
