id,nombre,ingreso_mensual,nivel_endeudamiento,frecuencia_ahorro,perfil_financiero
1,Feliciana,2810.89,22.18,Baja,En observacion
2,Dani,4827.5,19.42,Media,Saludable
3,Amador,4061.98,19.05,Media,Saludable
4,Manuela,3595.3,19.69,Media,Saludable
5,Leonardo,2046.07,26.09,Baja,En riesgo
6,Jose Ignacio,2045.98,28.09,Baja,En riesgo
7,Jacinto,1703.29,29.87,Media,En riesgo
8,Emilio,4531.62,19.74,Media,Saludable
9,Maite,3603.9,20.7,Media,Saludable
10,Cristian,3978.25,20.27,Media,Saludable
11,Inmaculada,1572.05,30.18,Media,En riesgo
12,Manu,4894.68,18.56,Baja,En observacion
13,Tecla,4413.55,21.3,Baja,En observacion
14,Caridad,2243.19,26.84,Baja,En riesgo
15,Chucho,2136.39,27.42,Media,En riesgo
16,Dominga,2141.92,25.78,Media,En observacion
17,Telmo,2564.85,24.96,Media,En observacion
18,Amílcar,3336.65,20.01,Baja,En observacion
19,Amor,3011.81,23.79,Media,En observacion
20,Ciro,2519.3,22.88,Baja,En observacion
21,Isaías,3641.49,21.49,Baja,En observacion
22,Joan,1988.23,28.65,Media,En riesgo
23,Anselma,2522.51,22.33,Baja,En observacion
24,Eligia,2782.27,23.37,Media,En observacion
25,Amando,3096.24,21.31,Media,Saludable
26,Chelo,4248.12,19.2,Baja,En observacion
27,Heliodoro,2198.86,26.0,Baja,En observacion
28,Lilia,3299.82,20.44,Media,Saludable
29,Florentina,3573.45,22.07,Media,En observacion
30,Judith,1662.58,29.84,Media,En riesgo
31,Caridad,3626.41,20.03,Media,Saludable
32,Simón,2096.83,27.45,Media,En riesgo
33,Isidro,1727.68,29.23,Media,En riesgo
34,Vidal,4821.1,17.22,Baja,En observacion
35,Dolores,4879.71,18.86,Media,Saludable
36,Leopoldo,4329.39,17.57,Baja,En observacion
37,Nydia,2566.15,24.52,Baja,En observacion
38,Ruth,1841.85,28.35,Baja,En riesgo
39,Adolfo,3894.82,20.19,Baja,En observacion
40,Martina,3040.53,22.65,Baja,En observacion
41,Noelia,1927.13,26.98,Media,En riesgo
42,Feliciano,3233.12,20.33,Media,Saludable
43,José,1620.36,31.54,Media,En riesgo
44,Telmo,4682.62,18.95,Media,Saludable
45,Noé,2405.73,25.02,Media,En observacion
46,Leopoldo,3818.83,21.06,Media,Saludable
47,Fabricio,2590.99,25.38,Baja,En observacion
48,Ildefonso,3320.24,22.19,Media,En observacion
49,María Carmen,3413.49,21.0,Media,Saludable
50,Nicodemo,2146.99,26.94,Media,En riesgo
51,Cristian,4893.55,17.91,Media,Saludable
52,Cirino,4212.96,18.71,Media,Saludable
53,Ricardo,4788.25,17.77,Baja,En observacion
54,Cleto,4631.9,16.48,Media,Saludable
55,Plinio,3592.65,19.38,Media,Saludable
56,Rebeca,4726.56,20.33,Media,Saludable
57,Omar,1809.72,28.42,Media,En riesgo
58,Elisabet,2185.94,26.33,Media,En riesgo
59,Juan Luis,1658.3,30.8,Baja,En riesgo
60,Noemí,2638.66,25.27,Baja,En observacion
61,Armando,2860.37,23.41,Baja,En observacion
62,Luna,2449.72,23.73,Media,En observacion
63,Ángel,4400.58,21.27,Baja,En observacion
64,Brunilda,2748.64,21.13,Media,Saludable
65,Edelmiro,2483.27,24.75,Baja,En observacion
66,Ágata,3399.44,21.47,Baja,En observacion
67,Reyes,1993.23,24.59,Media,En observacion
68,Cayetano,4307.69,21.36,Media,Saludable
69,Carmina,1760.93,29.96,Baja,En riesgo
70,Lázaro,4954.1,18.52,Media,Saludable
71,Paula,4202.86,19.35,Baja,En observacion
72,Eusebia,2195.5,26.02,Media,En riesgo
73,Esperanza,1519.33,31.94,Baja,En riesgo
74,Sonia,4354.11,17.31,Baja,En observacion
75,Rosalva,3974.0,19.23,Media,Saludable
76,Porfirio,4051.53,20.47,Media,Saludable
77,Crescencia,4199.45,19.05,Media,Saludable
78,Gregorio,1759.16,29.33,Media,En riesgo
79,Julie,2754.63,24.64,Media,En observacion
80,Buenaventura,1905.54,30.98,Media,En riesgo
81,Artemio,4520.86,19.24,Media,Saludable
82,Gisela,3681.54,18.9,Media,Saludable
83,Javier,2658.14,23.71,Media,En observacion
84,María Teresa,1722.45,28.9,Media,En riesgo
85,Luis Miguel,2588.44,24.26,Media,En observacion
86,Cebrián,2638.14,22.88,Media,En observacion
87,Rita,4053.62,19.56,Media,Saludable
88,Joan,3731.45,21.61,Media,Saludable
89,Roxana,4605.24,18.58,Media,Saludable
90,Cosme,3152.75,23.04,Baja,En observacion
91,Ricardo,1918.58,26.81,Media,En riesgo
92,Leopoldo,3996.36,18.81,Media,Saludable
93,Wilfredo,4162.75,18.7,Media,Saludable
94,Fabiola,3464.47,21.11,Baja,En observacion
95,Perlita,4198.39,21.16,Baja,En observacion
96,Pánfilo,3228.28,21.03,Media,Saludable
97,Fermín,3329.56,22.07,Media,En observacion
98,Raimundo,2996.39,23.09,Media,En observacion
99,Pedro,1588.97,32.78,Media,En riesgo
100,Hugo,1877.62,29.39,Media,En riesgo
101,Herminia,1610.0,26.98,Media,En riesgo
102,Juanito,3727.44,20.28,Baja,En observacion
103,Judith,2600.25,23.21,Media,En observacion
104,Isabela,3280.0,21.27,Baja,En observacion
105,Flora,4676.48,19.77,Baja,En observacion
106,Calixto,2372.52,25.71,Baja,En observacion
107,Emelina,2936.34,24.12,Media,En observacion
108,Fabiola,4144.43,19.8,Media,Saludable
109,Francisco Javier,2300.79,24.74,Media,En observacion
110,Bibiana,1769.43,29.89,Media,En riesgo
111,Luisina,2514.13,24.64,Media,En observacion
112,Jose Ignacio,2064.27,27.41,Media,En riesgo
113,Fernando,4753.94,18.68,Baja,En observacion
114,Óscar,4328.42,19.07,Media,Saludable
115,Reynaldo,3716.91,20.03,Media,Saludable
116,Julián,4550.11,19.53,Baja,En observacion
117,Ángela,4312.85,17.46,Media,Saludable
118,Felicidad,2153.0,25.16,Media,En observacion
119,Javiera,4623.96,20.53,Media,Saludable
120,Cecilia,3387.7,22.77,Media,En observacion
121,Isidoro,4326.04,18.93,Baja,En observacion
122,Isidora,4636.32,19.26,Media,Saludable
123,Moreno,2613.01,24.4,Baja,En observacion
124,Pía,1885.18,30.22,Media,En riesgo
125,María Jesús,2297.77,23.75,Media,En observacion
126,Maura,2994.88,23.03,Baja,En observacion
127,Basilio,4363.05,19.58,Media,Saludable
128,Jenaro,4512.56,18.92,Baja,En observacion
129,Paca,1524.33,32.93,Media,En riesgo
130,Amílcar,3287.62,22.88,Baja,En observacion
131,Noa,2960.94,23.59,Baja,En observacion
132,Maximiano,2277.38,25.61,Baja,En observacion
133,Salvador,1919.53,27.8,Media,En riesgo
134,Julio,2681.65,24.06,Media,En observacion
135,Blas,4800.18,20.34,Media,Saludable
136,Héctor,2631.21,23.62,Media,En observacion
137,Xiomara,3315.77,20.66,Baja,En observacion
138,Claudia,3960.57,18.68,Baja,En observacion
139,Sarita,2772.7,23.21,Media,En observacion
140,Lina,4901.24,18.76,Baja,En observacion
141,Maxi,4868.57,17.79,Media,Saludable
142,Ibán,2381.24,25.49,Media,En observacion
143,Gabriela,3240.37,20.73,Media,Saludable
144,Angelina,2553.07,25.07,Baja,En observacion
145,Ruy,2496.94,25.66,Baja,En observacion
146,Soledad,1629.1,33.7,Media,En riesgo
147,Yaiza,3633.48,21.29,Media,Saludable
148,Fernanda,3259.38,20.26,Media,Saludable
149,Álvaro,1680.18,30.39,Baja,En riesgo
150,Eric,2475.26,25.53,Baja,En observacion
151,Juan Manuel,4678.93,19.87,Media,Saludable
152,Emilio,2338.47,26.61,Media,En riesgo
153,Jose Manuel,2007.13,25.7,Baja,En observacion
154,Marcela,3213.08,22.09,Baja,En observacion
155,Chelo,4949.78,17.66,Baja,En observacion
156,Bárbara,2347.19,24.0,Media,En observacion
157,Juan José,3852.47,19.52,Baja,En observacion
158,Margarita,4165.67,16.48,Media,Saludable
