id,nombre,ingreso_mensual,nivel_endeudamiento,frecuencia_ahorro,perfil_financiero,split
1,Feliciana,2810.89,22.97,Baja,En observacion,test
2,Dani,4827.5,19.04,Media,Saludable,train
3,Amador,4061.98,19.58,Media,Saludable,train
4,Manuela,3595.3,19.14,Media,Saludable,train
5,Leonardo,2046.07,25.9,Baja,En observacion,train
6,Jose Ignacio,2045.98,25.32,Baja,En observacion,train
7,Jacinto,1703.29,28.2,Media,En riesgo,train
8,Emilio,4531.62,17.46,Media,Saludable,val
9,Maite,3603.9,21.26,Media,Saludable,test
10,Cristian,3978.25,19.52,Media,Saludable,train
11,Inmaculada,1572.05,27.31,Baja,En riesgo,test
12,Manu,4894.68,16.99,Baja,En observacion,test
13,Tecla,4413.55,18.84,Baja,En observacion,test
14,Caridad,2243.19,24.04,Baja,En observacion,train
15,Chucho,2136.39,24.26,Media,En observacion,train
16,Dominga,2141.92,25.4,Media,En observacion,val
17,Telmo,2564.85,24.68,Media,En observacion,train
18,Amílcar,3336.65,18.68,Baja,En observacion,val
19,Amor,3011.81,23.24,Media,En observacion,train
20,Ciro,2519.3,21.46,Baja,En observacion,train
21,Isaías,3641.49,19.45,Baja,En observacion,val
22,Joan,1988.23,28.72,Media,En riesgo,test
23,Anselma,2522.51,23.87,Baja,En observacion,test
24,Eligia,2782.27,21.72,Media,Saludable,train
25,Amando,3096.24,22.22,Media,En observacion,train
26,Chelo,4248.12,19.72,Baja,En observacion,train
27,Heliodoro,2198.86,25.0,Baja,En observacion,train
28,Lilia,3299.82,22.0,Media,Saludable,test
29,Florentina,3573.45,19.51,Media,Saludable,test
30,Judith,1662.58,30.42,Media,En riesgo,train
31,Caridad,3626.41,21.21,Media,Saludable,train
32,Simón,2096.83,25.9,Media,En observacion,train
33,Isidro,1727.68,29.78,Media,En riesgo,test
34,Vidal,4821.1,17.97,Baja,En observacion,train
35,Dolores,4879.71,18.84,Media,Saludable,test
36,Leopoldo,4329.39,21.89,Baja,En observacion,train
37,Nydia,2566.15,23.37,Media,En observacion,train
38,Ruth,1841.85,26.38,Baja,En riesgo,train
39,Adolfo,3894.82,18.32,Media,Saludable,train
40,Martina,3040.53,21.28,Media,Saludable,train
41,Noelia,1927.13,25.82,Media,En observacion,train
42,Feliciano,3233.12,21.58,Media,Saludable,train
43,José,1620.36,31.4,Media,En riesgo,test
44,Telmo,4682.62,19.51,Media,Saludable,test
45,Noé,2405.73,22.31,Media,En observacion,val
46,Leopoldo,3818.83,19.91,Media,Saludable,train
47,Fabricio,2590.99,22.34,Baja,En observacion,train
48,Ildefonso,3320.24,22.14,Baja,En observacion,val
49,María Carmen,3413.49,20.61,Media,Saludable,test
50,Nicodemo,2146.99,26.77,Baja,En riesgo,test
51,Cristian,4893.55,17.79,Media,Saludable,train
52,Cirino,4212.96,19.44,Media,Saludable,train
53,Ricardo,4788.25,18.53,Baja,En observacion,val
54,Cleto,4631.9,20.56,Media,Saludable,test
55,Plinio,3592.65,18.45,Media,Saludable,train
56,Rebeca,4726.56,19.26,Media,Saludable,train
57,Omar,1809.72,27.99,Media,En riesgo,train
58,Elisabet,2185.94,23.51,Media,En observacion,train
59,Juan Luis,1658.3,27.87,Baja,En riesgo,train
60,Noemí,2638.66,23.21,Baja,En observacion,train
61,Armando,2860.37,20.59,Baja,En observacion,val
62,Luna,2449.72,24.54,Media,En observacion,test
63,Ángel,4400.58,19.55,Baja,En observacion,train
64,Brunilda,2748.64,21.75,Media,Saludable,train
65,Edelmiro,2483.27,23.11,Media,En observacion,train
66,Ágata,3399.44,18.69,Baja,En observacion,train
67,Reyes,1993.23,27.34,Baja,En riesgo,train
68,Cayetano,4307.69,16.48,Media,Saludable,train
69,Carmina,1760.93,28.92,Baja,En riesgo,test
70,Lázaro,4954.1,15.81,Media,Saludable,test
71,Paula,4202.86,19.31,Media,Saludable,train
72,Eusebia,2195.5,24.67,Media,En observacion,train
73,Esperanza,1519.33,28.71,Baja,En riesgo,train
74,Sonia,4354.11,17.3,Baja,En observacion,train
75,Rosalva,3974.0,20.78,Media,Saludable,train
76,Porfirio,4051.53,18.44,Media,Saludable,train
77,Crescencia,4199.45,19.92,Media,Saludable,test
78,Gregorio,1759.16,32.12,Media,En riesgo,train
79,Julie,2754.63,22.05,Media,En observacion,train
80,Buenaventura,1905.54,25.7,Media,En observacion,train
81,Artemio,4520.86,19.97,Media,Saludable,val
82,Gisela,3681.54,17.36,Media,Saludable,train
83,Javier,2658.14,24.52,Media,En observacion,train
84,María Teresa,1722.45,29.17,Media,En riesgo,train
85,Luis Miguel,2588.44,22.25,Media,En observacion,train
86,Cebrián,2638.14,25.64,Baja,En observacion,train
87,Rita,4053.62,20.7,Media,Saludable,test
88,Joan,3731.45,21.86,Media,Saludable,val
89,Roxana,4605.24,18.89,Media,Saludable,train
90,Cosme,3152.75,20.16,Baja,En observacion,train
91,Ricardo,1918.58,26.94,Media,En riesgo,test
92,Leopoldo,3996.36,19.62,Media,Saludable,train
93,Wilfredo,4162.75,19.4,Media,Saludable,val
94,Fabiola,3464.47,18.03,Media,Saludable,val
95,Perlita,4198.39,18.32,Baja,En observacion,train
96,Pánfilo,3228.28,21.1,Media,Saludable,test
97,Fermín,3329.56,19.68,Media,Saludable,train
98,Raimundo,2996.39,21.47,Media,Saludable,train
99,Pedro,1588.97,30.63,Media,En riesgo,train
100,Hugo,1877.62,27.92,Media,En riesgo,train
101,Herminia,1610.0,31.11,Baja,En riesgo,val
102,Juanito,3727.44,18.0,Media,Saludable,train
103,Judith,2600.25,22.23,Media,En observacion,train
104,Isabela,3280.0,20.59,Media,Saludable,test
105,Flora,4676.48,17.45,Baja,En observacion,train
106,Calixto,2372.52,23.81,Baja,En observacion,train
107,Emelina,2936.34,21.72,Media,Saludable,test
108,Fabiola,4144.43,17.18,Media,Saludable,train
109,Francisco Javier,2300.79,25.71,Media,En observacion,train
110,Bibiana,1769.43,24.17,Media,En observacion,train
111,Luisina,2514.13,24.22,Media,En observacion,test
112,Jose Ignacio,2064.27,29.73,Media,En riesgo,train
113,Fernando,4753.94,17.88,Media,Saludable,train
114,Óscar,4328.42,20.87,Media,Saludable,train
115,Reynaldo,3716.91,21.75,Media,Saludable,val
116,Julián,4550.11,17.53,Baja,En observacion,train
117,Ángela,4312.85,16.15,Media,Saludable,test
118,Felicidad,2153.0,24.0,Media,En observacion,test
119,Javiera,4623.96,17.92,Media,Saludable,train
120,Cecilia,3387.7,19.15,Media,Saludable,train
121,Isidoro,4326.04,18.73,Baja,En observacion,train
122,Isidora,4636.32,19.25,Media,Saludable,train
123,Moreno,2613.01,21.27,Baja,En observacion,train
124,Pía,1885.18,27.79,Media,En riesgo,train
125,María Jesús,2297.77,23.52,Media,En observacion,train
126,Maura,2994.88,21.98,Media,Saludable,train
127,Basilio,4363.05,16.9,Media,Saludable,train
128,Jenaro,4512.56,21.12,Baja,En observacion,val
129,Paca,1524.33,27.12,Media,En riesgo,val
130,Amílcar,3287.62,20.78,Baja,En observacion,train
131,Noa,2960.94,17.4,Baja,En observacion,train
132,Maximiano,2277.38,23.68,Media,En observacion,val
133,Salvador,1919.53,28.11,Media,En riesgo,val
134,Julio,2681.65,24.59,Media,En observacion,train
135,Blas,4800.18,18.87,Baja,En observacion,train
136,Héctor,2631.21,22.72,Media,En observacion,train
137,Xiomara,3315.77,22.06,Media,En observacion,train
138,Claudia,3960.57,19.14,Baja,En observacion,val
139,Sarita,2772.7,23.07,Media,En observacion,train
140,Lina,4901.24,17.43,Baja,En observacion,train
141,Maxi,4868.57,18.02,Media,Saludable,train
142,Ibán,2381.24,24.62,Media,En observacion,train
143,Gabriela,3240.37,21.95,Media,Saludable,test
144,Angelina,2553.07,22.7,Media,En observacion,train
145,Ruy,2496.94,24.29,Baja,En observacion,val
146,Soledad,1629.1,30.91,Media,En riesgo,val
147,Yaiza,3633.48,22.17,Media,En observacion,train
148,Fernanda,3259.38,19.49,Media,Saludable,test
149,Álvaro,1680.18,30.54,Media,En riesgo,test
150,Eric,2475.26,21.13,Media,Saludable,train
151,Juan Manuel,4678.93,18.77,Media,Saludable,train
152,Emilio,2338.47,25.76,Media,En observacion,val
153,Jose Manuel,2007.13,26.45,Baja,En riesgo,train
154,Marcela,3213.08,21.35,Baja,En observacion,val
155,Chelo,4949.78,17.85,Media,Saludable,val
156,Bárbara,2347.19,24.8,Media,En observacion,train
157,Juan José,3852.47,19.54,Baja,En observacion,val
158,Margarita,4165.67,19.01,Media,Saludable,train
159,Daniela,2331.73,23.2,Media,En observacion,train
160,Tiburcio,4048.76,18.59,Media,Saludable,val
161,Tomasa,2787.24,22.02,Media,En observacion,train
162,Dalila,3713.07,19.24,Media,Saludable,train
163,Sabas,3717.35,19.32,Baja,En observacion,val
164,Porfirio,3375.21,22.26,Media,En observacion,val
165,Isidoro,1816.01,26.23,Media,En riesgo,val
166,Emiliano,4423.56,18.24,Baja,En observacion,test
167,Araceli,2622.73,23.29,Media,En observacion,test
168,Ana,2152.81,28.97,Media,En riesgo,val
169,Ciriaco,1642.71,28.08,Baja,En riesgo,val
170,Marisol,3568.13,19.1,Media,Saludable,train
171,Asdrubal,3871.48,21.78,Media,Saludable,train
172,Rosalinda,1558.06,31.92,Media,En riesgo,train
173,Damián,3292.33,19.16,Media,Saludable,train
174,Ezequiel,2292.74,25.29,Media,En observacion,val
175,Eulalia,3758.1,19.5,Media,Saludable,test
176,Feliciano,2110.28,26.18,Media,En riesgo,train
177,Mónica,3918.28,18.97,Media,Saludable,train
178,Irma,2853.57,22.54,Baja,En observacion,train
179,Telmo,4778.55,17.95,Media,Saludable,train
180,Débora,1981.32,25.0,Media,En observacion,train
181,Bernardo,2693.73,23.35,Baja,En observacion,train
182,Rogelio,1897.16,25.43,Baja,En observacion,train
183,Rico,4736.43,17.05,Media,Saludable,val
184,Débora,4570.69,15.59,Media,Saludable,train
185,Adelina,2402.8,22.98,Media,En observacion,val
186,Benigna,3809.94,21.52,Media,Saludable,train
187,José,4360.28,19.32,Baja,En observacion,test
188,Carolina,3443.2,18.43,Baja,En observacion,train
189,Rosalinda,3353.78,22.31,Media,En observacion,train
190,Aitor,2346.48,24.7,Media,En observacion,train
191,Irma,1825.86,27.54,Baja,En riesgo,test
192,Lorena,4640.26,17.1,Media,Saludable,test
193,Darío,4651.46,18.8,Media,Saludable,val
194,Isabel,3715.86,21.16,Media,Saludable,train
195,Sonia,2686.6,24.19,Baja,En observacion,train
196,Brunilda,2722.23,22.57,Media,En observacion,train
197,Maricela,4040.84,18.96,Baja,En observacion,train
198,Juanito,4639.89,17.52,Media,Saludable,train
199,María José,4604.8,17.46,Baja,En observacion,train
200,Felipa,4229.56,22.25,Media,En observacion,train
201,Noé,3747.11,19.68,Baja,En observacion,val
202,Dani,1794.49,30.21,Media,En riesgo,train
203,Lázaro,2065.7,24.24,Media,En observacion,test
204,Trinidad,4644.94,16.98,Baja,En observacion,val
205,Fausto,3622.5,20.63,Media,Saludable,train
206,Wilfredo,1532.19,30.55,Media,En riesgo,train
207,Abraham,1855.15,26.82,Media,En riesgo,val
208,Lorenza,3822.26,19.87,Media,Saludable,train
209,Sara,1517.72,25.93,Media,En observacion,val
210,Loida,2062.83,25.0,Baja,En observacion,train
211,Juan José,3420.57,17.16,Media,Saludable,train
212,Angelita,3921.63,18.71,Baja,En observacion,train
213,María Belén,3781.86,17.97,Media,Saludable,train
214,Gaspar,2284.94,21.77,Media,Saludable,val
215,Anunciación,3992.63,19.4,Media,Saludable,test
216,Ximena,2330.37,25.63,Media,En observacion,test
217,Curro,2638.9,23.88,Media,En observacion,test
218,Sabina,4112.72,19.56,Media,Saludable,train
219,Eufemia,3773.72,20.63,Media,Saludable,train
220,Marc,4472.28,18.27,Media,Saludable,train
221,Prudencia,3801.65,22.44,Baja,En observacion,train
222,Feliciana,3489.08,20.42,Baja,En observacion,train
223,Anunciación,1827.86,26.52,Baja,En riesgo,val
224,Emelina,2787.01,20.48,Baja,En observacion,train
225,Heliodoro,2428.21,24.31,Media,En observacion,train
226,Ezequiel,2353.96,25.97,Media,En observacion,train
227,Raúl,4905.54,16.34,Media,Saludable,train
228,María Belén,2875.84,23.9,Baja,En observacion,train
229,Felix,4622.16,16.98,Media,Saludable,train
230,Calista,3708.99,20.86,Media,Saludable,train
231,Melania,4281.84,19.92,Baja,En observacion,test
232,Ágata,3259.23,21.64,Baja,En observacion,val
233,Bernarda,3519.16,21.53,Baja,En observacion,train
234,Zaida,3223.81,21.58,Media,Saludable,train
235,Aarón,2183.35,25.07,Media,En observacion,train
236,Elena,4028.58,19.38,Media,Saludable,train
237,Moisés,2482.7,22.37,Baja,En observacion,train
238,Amaya,1585.11,32.14,Baja,En riesgo,train
239,Alejo,3759.15,19.44,Media,Saludable,train
240,Dani,2119.89,27.91,Baja,En riesgo,train
241,Úrsula,4791.61,15.85,Baja,En observacion,test
242,Primitivo,4838.75,19.64,Baja,En observacion,train
243,Selena,4702.03,18.81,Media,Saludable,test
244,Paz,2795.56,20.52,Media,Saludable,train
245,Noemí,1554.1,30.45,Media,En riesgo,train
246,Marino,4749.11,16.83,Baja,En observacion,val
247,Jose,2998.64,21.32,Baja,En observacion,train
248,Bautista,4883.29,17.4,Baja,En observacion,train
249,Jose Angel,4872.67,18.54,Media,Saludable,val
250,Selena,4485.53,16.32,Media,Saludable,test
251,Claudia,2530.57,24.13,Media,En observacion,train
252,Cayetano,2847.84,20.35,Baja,En observacion,train
253,Che,4478.98,18.9,Media,Saludable,test
254,Lupita,2609.23,22.19,Baja,En observacion,train
255,Amalia,2093.22,27.5,Baja,En riesgo,val
256,Olalla,3448.8,20.3,Media,Saludable,train
257,Bruno,4776.54,17.74,Media,Saludable,train
258,Martirio,3936.1,20.0,Media,Saludable,val
